name,type,sponsoring_org,dates,iana_url
.dental,generic,"Tin Birch, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/dental.html
.dentist,generic,"United TLD Holdco, Ltd","Record last updated 2015-06-11.Registration date 2014-05-22.",https://www.iana.org/domains/root/db/dentist.html
.desi,generic,Desi Networks LLC,"Record last updated 2016-01-29.Registration date 2014-03-06.",https://www.iana.org/domains/root/db/desi.html
.design,generic,"Top Level Design, LLC","Record last updated 2015-10-14.Registration date 2014-12-18.",https://www.iana.org/domains/root/db/design.html
.dev,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-11-20.",https://www.iana.org/domains/root/db/dev.html
.dhl,generic,Deutsche Post AG,"Record last updated 2016-06-02.Registration date 2016-05-26.",https://www.iana.org/domains/root/db/dhl.html
.diamonds,generic,"John Edge, LLC","Record last updated 2015-06-29.Registration date 2013-11-13.",https://www.iana.org/domains/root/db/diamonds.html
.diet,generic,"Uniregistry, Corp.","Record last updated 2015-09-09.Registration date 2014-08-15.",https://www.iana.org/domains/root/db/diet.html
.digital,generic,"Dash Park, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/digital.html
.direct,generic,"Half Trail, LLC","Record last updated 2015-06-29.Registration date 2014-05-22.",https://www.iana.org/domains/root/db/direct.html
.directory,generic,"Extra Madison, LLC","Record last updated 2015-06-29.Registration date 2013-11-13.",https://www.iana.org/domains/root/db/directory.html
.discount,generic,"Holly Hill, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/discount.html
.discover,generic,Discover Financial Services,"Record last updated 2016-07-28.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/discover.html
.dish,generic,Dish DBS Corporation,"Record last updated 2016-08-10.Registration date 2016-08-04.",https://www.iana.org/domains/root/db/dish.html
.dj,country-code,Djibouti Telecom S.A,"Record last updated 2010-03-08.Registration date 1996-05-22.",https://www.iana.org/domains/root/db/dj.html
.dk,country-code,Dansk Internet Forum,"Record last updated 2016-07-01.Registration date 1987-07-14.",https://www.iana.org/domains/root/db/dk.html
.dm,country-code,DotDM Corporation,"Record last updated 2015-06-26.Registration date 1991-09-03.",https://www.iana.org/domains/root/db/dm.html
.dnp,generic,"Dai Nippon Printing Co., Ltd.","Record last updated 2016-02-17.Registration date 2014-02-27.",https://www.iana.org/domains/root/db/dnp.html
.do,country-code,"Pontificia Universidad Catolica Madre y Maestra
Recinto Santo Tomas de Aquino","Record last updated 2015-12-14.Registration date 1991-08-25.",https://www.iana.org/domains/root/db/do.html
.docs,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-11-20.",https://www.iana.org/domains/root/db/docs.html
.doctor,generic,"Brice Trail, LLC","Record last updated 2016-07-21.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/doctor.html
.dodge,generic,FCA US LLC.,"Record last updated 2016-08-04.Registration date 2016-07-07.",https://www.iana.org/domains/root/db/dodge.html
.dog,generic,"Koko Mill, LLC","Record last updated 2015-06-24.Registration date 2015-04-16.",https://www.iana.org/domains/root/db/dog.html
.doha,generic,Communications Regulatory Authority (CRA),"Record last updated 2015-03-25.Registration date 2015-02-27.",https://www.iana.org/domains/root/db/doha.html
.domains,generic,"Sugar Cross, LLC","Record last updated 2015-06-29.Registration date 2013-12-12.",https://www.iana.org/domains/root/db/domains.html
.doosan,generic,Retired,"Record last updated 2016-02-24.Registration date 2014-10-30.",https://www.iana.org/domains/root/db/doosan.html
.dot,generic,Dish DBS Corporation,"Record last updated 2016-05-18.Registration date 2016-04-21.",https://www.iana.org/domains/root/db/dot.html
.download,generic,dot Support Limited,"Record last updated 2015-07-02.Registration date 2015-02-05.",https://www.iana.org/domains/root/db/download.html
.drive,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2015-06-04.",https://www.iana.org/domains/root/db/drive.html
.dtv,generic,Dish DBS Corporation,"Record last updated 2016-05-27.Registration date 2016-05-19.",https://www.iana.org/domains/root/db/dtv.html
.dubai,generic,Dubai Smart Government Department,"Record last updated 2016-01-07.Registration date 2015-12-17.",https://www.iana.org/domains/root/db/dubai.html
.duck,generic,"Johnson Shareholdings, Inc.","Record last updated 2016-07-21.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/duck.html
.dunlop,generic,The Goodyear Tire & Rubber Company,"Record last updated 2016-06-10.Registration date 2015-12-17.",https://www.iana.org/domains/root/db/dunlop.html
.duns,generic,The Dun & Bradstreet Corporation,"Record last updated 2016-07-23.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/duns.html
.dupont,generic,E. I. du Pont de Nemours and Company,"Record last updated 2016-06-10.Registration date 2016-05-05.",https://www.iana.org/domains/root/db/dupont.html
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,"Record last updated 2014-06-19.Registration date 2014-06-05.",https://www.iana.org/domains/root/db/durban.html
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,"Record last updated 2016-01-27.Registration date 2014-09-18.",https://www.iana.org/domains/root/db/dvag.html
.dz,country-code,CERIST,"Record last updated 2015-12-29.Registration date 1994-01-03.",https://www.iana.org/domains/root/db/dz.html
.earth,generic,"Interlink Co., Ltd.","Record last updated 2015-05-15.Registration date 2015-04-16.",https://www.iana.org/domains/root/db/earth.html
.eat,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-06-12.",https://www.iana.org/domains/root/db/eat.html
.ec,country-code,NIC.EC (NICEC) S.A.,"Record last updated 2015-11-17.Registration date 1991-02-01.",https://www.iana.org/domains/root/db/ec.html
.edeka,generic,EDEKA Verband kaufmännischer Genossenschaften e.V.,"Record last updated 2016-01-21.Registration date 2016-01-08.",https://www.iana.org/domains/root/db/edeka.html
.edu,sponsored,EDUCAUSE,"Record last updated 2014-06-18.Registration date 1985-01-01.",https://www.iana.org/domains/root/db/edu.html
.education,generic,"Brice Way, LLC","Record last updated 2015-06-29.Registration date 2013-12-19.",https://www.iana.org/domains/root/db/education.html
.ee,country-code,Eesti Interneti Sihtasutus (EIS),"Record last updated 2015-03-27.Registration date 1992-06-03.",https://www.iana.org/domains/root/db/ee.html
.eg,country-code,"Egyptian Universities Network (EUN)
Supreme Council of Universities","Record last updated 2011-05-20.Registration date 1990-11-30.",https://www.iana.org/domains/root/db/eg.html
.eh,country-code,Not assigned,"Record last updated 1999-09-27.",https://www.iana.org/domains/root/db/eh.html
.email,generic,"Spring Madison, LLC","Record last updated 2015-06-29.Registration date 2013-12-19.",https://www.iana.org/domains/root/db/email.html
.emerck,generic,Merck KGaA,"Record last updated 2014-10-31.Registration date 2014-09-11.",https://www.iana.org/domains/root/db/emerck.html
.energy,generic,"Binky Birch, LLC","Record last updated 2015-06-29.Registration date 2014-10-16.",https://www.iana.org/domains/root/db/energy.html
.engineer,generic,United TLD Holdco Ltd.,"Record last updated 2015-06-11.Registration date 2014-05-29.",https://www.iana.org/domains/root/db/engineer.html
.engineering,generic,Romeo Canyon,"Record last updated 2015-06-29.Registration date 2014-04-03.",https://www.iana.org/domains/root/db/engineering.html
.enterprises,generic,"Snow Oaks, LLC","Record last updated 2015-06-29.Registration date 2013-11-13.",https://www.iana.org/domains/root/db/enterprises.html
.epost,generic,Deutsche Post AG,"Record last updated 2016-06-07.Registration date 2016-05-26.",https://www.iana.org/domains/root/db/epost.html
.epson,generic,Seiko Epson Corporation,"Record last updated 2016-05-06.Registration date 2015-02-19.",https://www.iana.org/domains/root/db/epson.html
.equipment,generic,"Corn Station, LLC","Record last updated 2015-06-29.Registration date 2013-10-31.",https://www.iana.org/domains/root/db/equipment.html
.er,country-code,Eritrea Telecommunication Services Corporation (EriTel),"Record last updated 2012-07-18.Registration date 1996-09-24.",https://www.iana.org/domains/root/db/er.html
.ericsson,generic,Telefonaktiebolaget L M Ericsson,"Record last updated 2016-06-10.Registration date 2016-04-14.",https://www.iana.org/domains/root/db/ericsson.html
.erni,generic,ERNI Group Holding AG,"Record last updated 2015-03-12.Registration date 2015-02-05.",https://www.iana.org/domains/root/db/erni.html
.es,country-code,Red.es,"Record last updated 2016-04-23.Registration date 1988-04-14.",https://www.iana.org/domains/root/db/es.html
.esq,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-08-23.",https://www.iana.org/domains/root/db/esq.html
.estate,generic,"Trixy Park, LLC","Record last updated 2015-06-30.Registration date 2013-11-08.",https://www.iana.org/domains/root/db/estate.html
.esurance,generic,Esurance Insurance Company,"Record last updated 2016-07-23.Registration date 2016-06-24.",https://www.iana.org/domains/root/db/esurance.html
.et,country-code,Ethio telecom,"Record last updated 2012-01-05.Registration date 1995-10-15.",https://www.iana.org/domains/root/db/et.html
.eu,country-code,EURid vzw/asbl,"Record last updated 2015-06-05.Registration date 2005-04-28.",https://www.iana.org/domains/root/db/eu.html
.eurovision,generic,European Broadcasting Union (EBU),"Record last updated 2014-12-08.Registration date 2014-08-28.",https://www.iana.org/domains/root/db/eurovision.html
.eus,generic,Puntueus Fundazioa,"Record last updated 2015-03-31.Registration date 2014-03-06.",https://www.iana.org/domains/root/db/eus.html
.events,generic,"Pioneer Maple, LLC","Record last updated 2015-06-29.Registration date 2014-01-30.",https://www.iana.org/domains/root/db/events.html
.everbank,generic,EverBank,"Record last updated 2014-12-01.Registration date 2014-07-31.",https://www.iana.org/domains/root/db/everbank.html
.exchange,generic,"Spring Falls, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/exchange.html
.expert,generic,"Magic Pass, LLC","Record last updated 2015-06-29.Registration date 2014-01-16.",https://www.iana.org/domains/root/db/expert.html
.exposed,generic,"Victor Beach, LLC","Record last updated 2015-06-29.Registration date 2014-01-30.",https://www.iana.org/domains/root/db/exposed.html
.express,generic,"Sea Sunset, LLC","Record last updated 2015-06-29.Registration date 2015-03-12.",https://www.iana.org/domains/root/db/express.html
.extraspace,generic,Extra Space Storage LLC,"Record last updated 2016-03-25.Registration date 2016-02-26.",https://www.iana.org/domains/root/db/extraspace.html
.fage,generic,Fage International S.A.,"Record last updated 2015-08-10.Registration date 2015-06-25.",https://www.iana.org/domains/root/db/fage.html
.fail,generic,"Atomic Pipe, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/fail.html
.fairwinds,generic,"FairWinds Partners, LLC","Record last updated 2016-02-22.Registration date 2015-10-29.",https://www.iana.org/domains/root/db/fairwinds.html
.faith,generic,dot Faith Limited,"Record last updated 2015-07-02.Registration date 2015-02-05.",https://www.iana.org/domains/root/db/faith.html
.family,generic,United TLD Holdco Ltd.,"Record last updated 2015-08-11.Registration date 2015-08-06.",https://www.iana.org/domains/root/db/family.html
.fan,generic,Asiamix Digital Ltd,"Record last updated 2015-10-10.Registration date 2015-02-28.",https://www.iana.org/domains/root/db/fan.html
.fans,generic,Asiamix Digital Limited,"Record last updated 2015-10-10.Registration date 2015-02-05.",https://www.iana.org/domains/root/db/fans.html
.farm,generic,"Just Maple, LLC","Record last updated 2015-06-29.Registration date 2013-12-19.",https://www.iana.org/domains/root/db/farm.html
.farmers,generic,Farmers Insurance Exchange,"Record last updated 2016-06-26.Registration date 2016-04-21.",https://www.iana.org/domains/root/db/farmers.html
.fashion,generic,Top Level Domain Holdings Limited,"Record last updated 2014-12-08.Registration date 2014-10-23.",https://www.iana.org/domains/root/db/fashion.html
.fast,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/fast.html
.fedex,generic,Federal Express Corporation,"Record last updated 2016-06-26.Registration date 2016-06-09.",https://www.iana.org/domains/root/db/fedex.html
.feedback,generic,"Top Level Spectrum, Inc.","Record last updated 2015-10-14.Registration date 2014-03-06.",https://www.iana.org/domains/root/db/feedback.html
.ferrari,generic,Fiat Chrysler Automobiles N.V.,"Record last updated 2016-08-02.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/ferrari.html
.ferrero,generic,Ferrero Trading Lux S.A.,"Record last updated 2015-11-07.Registration date 2015-09-10.",https://www.iana.org/domains/root/db/ferrero.html
.fi,country-code,Finnish Communications Regulatory Authority,"Record last updated 2016-05-26.Registration date 1986-12-17.",https://www.iana.org/domains/root/db/fi.html
.fiat,generic,Fiat Chrysler Automobiles N.V.,"Record last updated 2016-08-02.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/fiat.html
.fidelity,generic,Fidelity Brokerage Services LLC,"Record last updated 2016-08-04.Registration date 2016-07-28.",https://www.iana.org/domains/root/db/fidelity.html
.film,generic,Motion Picture Domain Registry Pty Ltd,"Record last updated 2015-08-13.Registration date 2015-02-27.",https://www.iana.org/domains/root/db/film.html
.final,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,"Record last updated 2016-01-29.Registration date 2015-05-29.",https://www.iana.org/domains/root/db/final.html
.finance,generic,"Cotton Cypress, LLC","Record last updated 2015-06-29.Registration date 2014-04-24.",https://www.iana.org/domains/root/db/finance.html
.financial,generic,"Just Cover, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/financial.html
.fire,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2016-05-19.",https://www.iana.org/domains/root/db/fire.html
.firestone,generic,"Bridgestone Licensing Services, Inc.","Record last updated 2016-04-13.Registration date 2015-10-29.",https://www.iana.org/domains/root/db/firestone.html
.firmdale,generic,Firmdale Holdings Limited,"Record last updated 2014-11-20.Registration date 2014-09-04.",https://www.iana.org/domains/root/db/firmdale.html
.fish,generic,"Fox Woods, LLC","Record last updated 2015-06-29.Registration date 2014-02-13.",https://www.iana.org/domains/root/db/fish.html
.fishing,generic,Top Level Domain Holdings Limited,"Record last updated 2016-04-16.Registration date 2014-02-28.",https://www.iana.org/domains/root/db/fishing.html
.fit,generic,Minds + Machines Group Limited,"Record last updated 2015-01-09.Registration date 2014-12-18.",https://www.iana.org/domains/root/db/fit.html
.fitness,generic,"Brice Orchard, LLC","Record last updated 2015-06-29.Registration date 2014-04-11.",https://www.iana.org/domains/root/db/fitness.html
.fj,country-code,"The University of the South Pacific
IT Services","Record last updated 2009-05-26.Registration date 1992-06-03.",https://www.iana.org/domains/root/db/fj.html
.fk,country-code,Falkland Islands Government,"Record last updated 2014-09-10.Registration date 1997-03-26.",https://www.iana.org/domains/root/db/fk.html
.flickr,generic,Yahoo! Domain Services Inc.,"Record last updated 2016-03-25.Registration date 2016-01-29.",https://www.iana.org/domains/root/db/flickr.html
.flights,generic,"Fox Station, LLC","Record last updated 2015-06-29.Registration date 2014-01-30.",https://www.iana.org/domains/root/db/flights.html
.flir,generic,"FLIR Systems, Inc.","Record last updated 2016-05-10.Registration date 2016-03-03.",https://www.iana.org/domains/root/db/flir.html
.florist,generic,"Half Cypress, LLC","Record last updated 2015-06-29.Registration date 2013-12-19.",https://www.iana.org/domains/root/db/florist.html
.flowers,generic,"Uniregistry, Corp.","Record last updated 2015-09-09.Registration date 2014-12-18.",https://www.iana.org/domains/root/db/flowers.html
.flsmidth,generic,Retired,"Record last updated 2016-07-29.Registration date 2014-09-25.",https://www.iana.org/domains/root/db/flsmidth.html
.fly,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-08-23.",https://www.iana.org/domains/root/db/fly.html
.fm,country-code,FSM Telecommunications Corporation,"Record last updated 2013-05-16.Registration date 1995-04-19.",https://www.iana.org/domains/root/db/fm.html
.fo,country-code,FO Council,"Record last updated 2013-04-17.Registration date 1993-05-14.",https://www.iana.org/domains/root/db/fo.html
.foo,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-03-20.",https://www.iana.org/domains/root/db/foo.html
.foodnetwork,generic,"Lifestyle Domain Holdings, Inc.","Record last updated 2016-06-24.Registration date 2016-05-05.",https://www.iana.org/domains/root/db/foodnetwork.html
.football,generic,"Foggy Farms, LLC","Record last updated 2015-06-29.Registration date 2015-02-13.",https://www.iana.org/domains/root/db/football.html
.ford,generic,Ford Motor Company,"Record last updated 2015-12-18.Registration date 2015-12-10.",https://www.iana.org/domains/root/db/ford.html
.forex,generic,DOTFOREX REGISTRY LTD,"Record last updated 2016-02-24.Registration date 2015-03-06.",https://www.iana.org/domains/root/db/forex.html
.forsale,generic,"United TLD Holdco, LLC","Record last updated 2015-06-11.Registration date 2014-09-24.",https://www.iana.org/domains/root/db/forsale.html
.forum,generic,"Fegistry, LLC","Record last updated 2015-10-14.Registration date 2015-06-11.",https://www.iana.org/domains/root/db/forum.html
.foundation,generic,"John Dale, LLC","Record last updated 2015-06-29.Registration date 2014-02-06.",https://www.iana.org/domains/root/db/foundation.html
.fox,generic,"FOX Registry, LLC","Record last updated 2015-12-24.Registration date 2015-11-20.",https://www.iana.org/domains/root/db/fox.html
.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),"Record last updated 2016-01-25.Registration date 1986-09-02.",https://www.iana.org/domains/root/db/fr.html
.fresenius,generic,Fresenius Immobilien-Verwaltungs-GmbH,"Record last updated 2016-01-29.Registration date 2015-12-17.",https://www.iana.org/domains/root/db/fresenius.html
.frl,generic,FRLregistry B.V.,"Record last updated 2015-01-29.Registration date 2014-08-22.",https://www.iana.org/domains/root/db/frl.html
.frogans,generic,OP3FT,"Record last updated 2016-04-06.Registration date 2014-04-03.",https://www.iana.org/domains/root/db/frogans.html
.frontdoor,generic,"Lifestyle Domain Holdings, Inc.","Record last updated 2016-06-24.Registration date 2016-05-05.",https://www.iana.org/domains/root/db/frontdoor.html
.frontier,generic,Frontier Communications Corporation,"Record last updated 2016-02-06.Registration date 2016-01-29.",https://www.iana.org/domains/root/db/frontier.html
.ftr,generic,Frontier Communications Corporation,"Record last updated 2016-04-17.Registration date 2016-01-29.",https://www.iana.org/domains/root/db/ftr.html
.fujitsu,generic,Fujitsu Limited,"Record last updated 2016-07-07.Registration date 2016-06-30.",https://www.iana.org/domains/root/db/fujitsu.html
.fujixerox,generic,Xerox DNHC LLC,"Record last updated 2016-07-16.Registration date 2016-07-07.",https://www.iana.org/domains/root/db/fujixerox.html
.fund,generic,"John Castle, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/fund.html
.furniture,generic,"Lone Fields, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/furniture.html
.futbol,generic,"United TLD Holdco, Ltd.","Record last updated 2015-06-11.Registration date 2014-02-06.",https://www.iana.org/domains/root/db/futbol.html
.fyi,generic,"Silver Tigers, LLC","Record last updated 2015-06-24.Registration date 2015-05-14.",https://www.iana.org/domains/root/db/fyi.html
.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),"Record last updated 2014-07-11.Registration date 1994-12-12.",https://www.iana.org/domains/root/db/ga.html
.gal,generic,Asociación puntoGAL,"Record last updated 2015-03-31.Registration date 2014-03-13.",https://www.iana.org/domains/root/db/gal.html
.gallery,generic,"Sugar House, LLC","Record last updated 2015-06-29.Registration date 2013-11-08.",https://www.iana.org/domains/root/db/gallery.html
.gallo,generic,"Gallo Vineyards, Inc.","Record last updated 2016-03-22.Registration date 2015-10-24.",https://www.iana.org/domains/root/db/gallo.html
.gallup,generic,"Gallup, Inc.","Record last updated 2016-02-11.Registration date 2015-10-15.",https://www.iana.org/domains/root/db/gallup.html
.game,generic,"Uniregistry, Corp.","Record last updated 2015-09-09.Registration date 2015-07-02.",https://www.iana.org/domains/root/db/game.html
.games,generic,United TLD Holdco Ltd.,"Record last updated 2016-06-02.Registration date 2016-05-24.",https://www.iana.org/domains/root/db/games.html
.gap,generic,"The Gap, Inc.","Record last updated 2016-08-04.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/gap.html
.garden,generic,Top Level Domain Holdings Limited,"Record last updated 2014-12-15.Registration date 2014-10-23.",https://www.iana.org/domains/root/db/garden.html
.gb,country-code,Reserved Domain - IANA,"Record last updated 2009-07-22.Registration date 1985-07-24.",https://www.iana.org/domains/root/db/gb.html
.gbiz,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-08-23.",https://www.iana.org/domains/root/db/gbiz.html
.gd,country-code,The National Telecommunications Regulatory Commission (NTRC),"Record last updated 2016-06-08.Registration date 1992-06-03.",https://www.iana.org/domains/root/db/gd.html
.gdn,generic,"Joint Stock Company ""Navigation-information systems""","Record last updated 2016-08-05.Registration date 2014-12-04.",https://www.iana.org/domains/root/db/gdn.html
.ge,country-code,Caucasus Online,"Record last updated 2012-06-12.Registration date 1992-12-02.",https://www.iana.org/domains/root/db/ge.html
.gea,generic,GEA Group Aktiengesellschaft,"Record last updated 2015-08-28.Registration date 2015-07-09.",https://www.iana.org/domains/root/db/gea.html
.gent,generic,Combell nv,"Record last updated 2015-10-22.Registration date 2014-07-03.",https://www.iana.org/domains/root/db/gent.html
.genting,generic,Resorts World Inc. Pte. Ltd.,"Record last updated 2016-02-19.Registration date 2015-06-11.",https://www.iana.org/domains/root/db/genting.html
.george,generic,"Wal-Mart Stores, Inc.","Record last updated 2016-08-18.Registration date 2016-07-21.",https://www.iana.org/domains/root/db/george.html
.gf,country-code,Net Plus,"Record last updated 2011-07-14.Registration date 1996-07-25.",https://www.iana.org/domains/root/db/gf.html
.gg,country-code,Island Networks Ltd.,"Record last updated 2016-03-08.Registration date 1996-08-07.",https://www.iana.org/domains/root/db/gg.html
.ggee,generic,"GMO Internet, Inc.","Record last updated 2015-11-19.Registration date 2014-12-18.",https://www.iana.org/domains/root/db/ggee.html
.gh,country-code,Network Computer Systems Limited,"Record last updated 2015-09-22.Registration date 1995-01-19.",https://www.iana.org/domains/root/db/gh.html
.gi,country-code,Sapphire Networks,"Record last updated 2010-11-03.Registration date 1995-12-05.",https://www.iana.org/domains/root/db/gi.html
.gift,generic,"Uniregistry, Corp.","Record last updated 2015-09-09.Registration date 2014-01-09.",https://www.iana.org/domains/root/db/gift.html
.gifts,generic,"Goose Sky, LLC","Record last updated 2015-06-29.Registration date 2014-07-31.",https://www.iana.org/domains/root/db/gifts.html
.gives,generic,United TLD Holdco Ltd.,"Record last updated 2015-06-11.Registration date 2014-05-29.",https://www.iana.org/domains/root/db/gives.html
.giving,generic,Giving Limited,"Record last updated 2015-08-12.Registration date 2015-06-11.",https://www.iana.org/domains/root/db/giving.html
.gl,country-code,TELE Greenland A/S,"Record last updated 2014-08-22.Registration date 1994-04-08.",https://www.iana.org/domains/root/db/gl.html
.glade,generic,"Johnson Shareholdings, Inc.","Record last updated 2016-07-28.Registration date 2016-07-14.",https://www.iana.org/domains/root/db/glade.html
.glass,generic,"Black Cover, LLC","Record last updated 2015-06-29.Registration date 2013-12-19.",https://www.iana.org/domains/root/db/glass.html
.gle,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-09-04.",https://www.iana.org/domains/root/db/gle.html
.global,generic,Dot Global Domain Registry Limited,"Record last updated 2015-02-08.Registration date 2014-05-29.",https://www.iana.org/domains/root/db/global.html
.globo,generic,Globo Comunicação e Participações S.A,"Record last updated 2014-05-05.Registration date 2014-02-20.",https://www.iana.org/domains/root/db/globo.html
.gm,country-code,GM-NIC,"Record last updated 2015-08-20.Registration date 1997-03-28.",https://www.iana.org/domains/root/db/gm.html
.gmail,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-08-23.",https://www.iana.org/domains/root/db/gmail.html
.gmbh,generic,"Extra Dynamite, LLC","Record last updated 2016-03-10.Registration date 2016-03-03.",https://www.iana.org/domains/root/db/gmbh.html
.gmo,generic,"GMO Internet, Inc.","Record last updated 2016-01-20.Registration date 2014-02-27.",https://www.iana.org/domains/root/db/gmo.html
.gmx,generic,1&1 Mail & Media GmbH,"Record last updated 2014-09-05.Registration date 2014-08-07.",https://www.iana.org/domains/root/db/gmx.html
.gn,country-code,Centre National des Sciences Halieutiques de Boussoura,"Record last updated 2014-06-05.Registration date 1994-08-09.",https://www.iana.org/domains/root/db/gn.html
.godaddy,generic,"Go Daddy East, LLC","Record last updated 2016-07-07.Registration date 2016-06-24.",https://www.iana.org/domains/root/db/godaddy.html
.gold,generic,"June Edge, LLC","Record last updated 2015-06-29.Registration date 2015-03-12.",https://www.iana.org/domains/root/db/gold.html
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.","Record last updated 2015-10-19.Registration date 2015-02-13.",https://www.iana.org/domains/root/db/goldpoint.html
.golf,generic,"Lone Falls, LLC","Record last updated 2015-06-29.Registration date 2015-03-12.",https://www.iana.org/domains/root/db/golf.html
.goo,generic,NTT Resonant Inc.,"Record last updated 2016-06-22.Registration date 2015-02-13.",https://www.iana.org/domains/root/db/goo.html
.goodhands,generic,Allstate Fire and Casualty Insurance Company,"Record last updated 2016-07-14.Registration date 2016-02-05.",https://www.iana.org/domains/root/db/goodhands.html
.goodyear,generic,The Goodyear Tire & Rubber Company,"Record last updated 2016-06-10.Registration date 2015-12-17.",https://www.iana.org/domains/root/db/goodyear.html
.goog,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2015-01-08.",https://www.iana.org/domains/root/db/goog.html
.google,generic,Charleston Road Registry Inc.,"Record last updated 2016-08-03.Registration date 2014-09-04.",https://www.iana.org/domains/root/db/google.html
.gop,generic,"Republican State Leadership Committee, Inc.","Record last updated 2014-12-01.Registration date 2014-03-06.",https://www.iana.org/domains/root/db/gop.html
.got,generic,"Amazon Registry Services, Inc.","Record last updated 2016-06-14.Registration date 2015-11-12.",https://www.iana.org/domains/root/db/got.html
.gov,sponsored,"General Services Administration
Attn: QTDC, 2E08 (.gov Domain Registration)","Record last updated 2013-09-10.Registration date 1985-01-01.",https://www.iana.org/domains/root/db/gov.html
.gp,country-code,Networking Technologies Group,"Record last updated 2016-01-12.Registration date 1996-10-21.",https://www.iana.org/domains/root/db/gp.html
.gq,country-code,GETESA,"Record last updated 2015-12-24.Registration date 1997-07-10.",https://www.iana.org/domains/root/db/gq.html
.gr,country-code,ICS-FORTH GR,"Record last updated 2016-06-17.Registration date 1989-02-19.",https://www.iana.org/domains/root/db/gr.html
.grainger,generic,"Grainger Registry Services, LLC","Record last updated 2015-11-13.Registration date 2015-10-29.",https://www.iana.org/domains/root/db/grainger.html
.graphics,generic,"Over Madison, LLC","Record last updated 2015-06-29.Registration date 2013-11-08.",https://www.iana.org/domains/root/db/graphics.html
.gratis,generic,"Pioneer Tigers, LLC","Record last updated 2015-06-29.Registration date 2014-04-17.",https://www.iana.org/domains/root/db/gratis.html
.green,generic,Afilias Limited,"Record last updated 2014-06-19.Registration date 2014-06-12.",https://www.iana.org/domains/root/db/green.html
.gripe,generic,"Corn Sunset, LLC","Record last updated 2015-06-29.Registration date 2014-04-03.",https://www.iana.org/domains/root/db/gripe.html
.group,generic,"Romeo Town, LLC","Record last updated 2015-09-23.Registration date 2015-07-30.",https://www.iana.org/domains/root/db/group.html
.gs,country-code,Government of South Georgia and South Sandwich Islands (GSGSSI),"Record last updated 2015-02-12.Registration date 1997-07-31.",https://www.iana.org/domains/root/db/gs.html
.gt,country-code,Universidad del Valle de Guatemala,"Record last updated 2016-07-28.Registration date 1992-08-14.",https://www.iana.org/domains/root/db/gt.html
.gu,country-code,"University of Guam
Computer Center","Record last updated 2014-08-06.Registration date 1994-04-15.",https://www.iana.org/domains/root/db/gu.html
.guardian,generic,The Guardian Life Insurance Company of America,"Record last updated 2016-05-16.Registration date 2016-04-14.",https://www.iana.org/domains/root/db/guardian.html
.gucci,generic,Guccio Gucci S.p.a.,"Record last updated 2015-10-27.Registration date 2015-03-06.",https://www.iana.org/domains/root/db/gucci.html
